nohup: ignoring input
[BRAIN] system: Loaded existing V6 state file
[BRAIN] feed: Connecting Binance WebSocket for 50 pairs
[BRAIN] system: ApexQuant V6 backend running on port 8091
ApexQuant V6 backend running: http://0.0.0.0:8091
[BRAIN] feed: Binance WebSocket connected
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_open: STRATEGY opened LONG XRPUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BNBUSDT
[BRAIN] trade_reject: STRATEGY rejected SOLUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BNBUSDT
[BRAIN] trade_reject: STRATEGY rejected ETHUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
[BRAIN] trade_reject: STRATEGY rejected BTCUSDT
